site_number,transect,date_processed,species,sample_number,sex_raw_diff,test_height_mm_raw_diff,test_diameter_mm_raw_diff,animal_wet_mass_g_raw_diff,gonad_mass_g_raw_diff,resolved
MAR13,2,2024-09-19,purple_urchin,70,NA,NA,NA,NA,4.521 ≠ 4.523,
MAR13,3,2024-09-19,purple_urchin,20,NA,NA,44.5 ≠ 44,NA,NA,
MAR13,3,2024-09-19,purple_urchin,50,NA,14 ≠ 19,NA,NA,NA,
MAR13,3,2024-09-19,purple_urchin,60,NA,NA,44.5 ≠ 44.4,NA,NA,
MAR09,3,2025-06-17,purple_urchin,45,NA,24.52 ≠ 25.42,NA,NA,NA,
MAR09,2,2025-06-17,purple_urchin,45,NA,16.11 ≠ 16.17,NA,NA,NA,
MAR09,1,2025-06-17,purple_urchin,65,NA,NA,45.13 ≠ 45.16,NA,NA,
MAR08,1,2025-07-03,purple_urchin,20,NA,NA,NA,NA,1.799 ≠ 1.789,
MAR08,1,2025-07-03,purple_urchin,50,male ≠ female,19.6 ≠ 21.6,45.6 ≠ 47,NA,2.331 ≠ 1.266,
MAR08,1,2025-07-03,purple_urchin,5,NA,26.12 ≠ 26.6,NA,NA,NA,
MAR08,3,2025-07-03,purple_urchin,70,NA,NA,51.6 ≠ 54.6,NA,NA,
MAR08,2,2025-07-03,purple_urchin,65,NA,24.2 ≠ 25.2,NA,NA,NA,
MAR08,2,2025-07-03,purple_urchin,75,NA,19.2 ≠ 19,NA,NA,NA,
MAR10,2,2025-08-26,purple_urchin,30,NA,NA,NA,NA,0.896 ≠ 0.596,
MAR10,2,2025-08-26,purple_urchin,45,NA,NA,28.54 ≠ 36.18,NA,NA,
